\fixlen = T
|set|TIME       |ndiv_PDCSAP_FLUX|
|int|double     |double          |
 0   135.0062549 1.00022361054    
 0   135.0266895 1.00040634005    
 0   135.0471240 1.00015479124    
 0   135.0675586 0.999732203157   
 0   135.0879933 0.999789471392   
 0   135.1084278 0.999286234606   
 0   135.1288624 0.999374120123   
 0   135.1492971 0.999308084212   
 0   135.1697317 0.99991075758    
 0   135.1901662 1.00018526935    
 0   135.2106008 0.999855437718   
 0   135.2310355 0.999861004497   
 0   135.2514700 0.999662548839   
 0   135.2719046 1.00045268348    
 0   135.2923390 1.00023203029    
 0   135.3127737 1.00000921998    
 0   135.3332083 0.999637011242   
 0   135.3536428 0.999403763219   
 0   135.3740775 1.00021115487    
 0   135.3945121 1.00020343097    
 0   135.4149467 1.0000856936     
 0   135.4353812 1.00017879797    
 0   135.4558159 0.999579603838   
 0   135.4762505 0.999840198662   
 0   135.4966850 1.0001148496     
 0   135.5171197 0.999886750848   
 0   135.5375543 1.00028519303    
 0   135.5579887 0.999285677928   
 0   135.5784233 1.00018039842    
 0   135.5988580 0.999380661088   
 0   135.6192925 1.0000742817     
 0   135.6397271 0.999857316506   
 0   135.6601618 1.00065879346    
 0   135.6805964 1.00094541297    
 0   135.7010309 1.00017643209    
 0   135.7214655 1.0003213075     
 0   135.7419002 0.999893291813   
 0   135.7623347 1.00066289895    
 0   135.7827693 0.999748485984   
 0   135.8032039 1.00033550279    
 0   135.8236384 0.99997735017    
 0   135.8440730 1.00041726485    
 0   135.8645076 0.999969974188   
 0   135.8849422 0.999670690253   
 0   135.9053768 1.00038393376    
 0   135.9258114 1.00011923344    
 0   135.9462459 0.999972270484   
 0   135.9666806 1.00043473062    
 0   135.9871152 1.00265413566    
 0   136.0075497 0.999816679022   
 0   136.0279843 0.999909644225   
 0   136.0484189 0.999866084182   
 0   136.0688534 1.00000156566    
 0   136.0892880 0.999944645345   
 0   136.1097227 1.00124226144    
 0   136.1301573 1.0001412918     
 0   136.1505918 0.999849175092   
 0   136.1710265 1.00045998987    
 0   136.1914611 1.00106161947    
 0   136.2118956 1.00036319751    
 0   136.2323302 1.00021310324    
 0   136.2527648 0.999833309773   
 0   136.2731993 0.999896910219   
 0   136.2936339 0.999651554452   
 0   136.3140686 0.999720512922   
 0   136.3345031 1.00041281143    
 0   136.3549377 0.999924187434   
 0   136.3753723 0.99962713021    
 0   136.3958069 0.999797056127   
 0   136.4162415 1.00019765543    
 0   136.4366761 1.0004917901     
 0   136.4571107 1.00027837372    
 0   136.4775452 0.994377936323   
 0   136.4979798 0.990079130714   
 0   136.5184144 0.990261442713   
 0   136.5388490 0.996683348099   
 0   136.5592836 1.00048886754    
 0   136.5797182 0.999787940527   
 0   136.6001528 1.00013941301    
 0   136.6205874 0.999259792407   
 0   136.6410220 0.999949029183   
 0   136.6614565 0.999450732913   
 0   136.6818911 0.998908389508   
 0   136.7023257 0.999436815967   
 0   136.7227603 0.999044497245   
 0   136.7431948 1.00002487654    
 0   136.7636295 0.998761913646   
 0   136.7840641 1.00046423454    
 0   136.8044986 0.999699637502   
 0   136.8249333 0.999610847383   
 0   136.8453678 0.998938728451   
 0   136.8658024 0.999565965231   
 0   136.8862369 0.999226182981   
 0   136.9066716 1.00008736363    
 0   136.9271062 0.999253042688   
 0   136.9475407 0.999809024701   
 0   136.9679754 0.999478775561   
 0   136.9884100 0.999396039314   
 0   137.0088445 0.99929423685    
 0   137.0292790 0.999094250328   
 0   137.0497137 0.999838667798   
 0   137.0701482 0.99958684065    
 0   137.0905828 0.999374468046   
 0   137.1110175 0.998708472571   
 0   137.1314520 0.999528528644   
 0   137.1518866 0.999938661058   
 0   137.1723212 0.999263619567   
 0   137.1927559 0.999454977582   
 0   137.2131903 0.999794133569   
 0   137.2336249 1.00000824579    
 0   137.2540594 0.999797125712   
 0   137.2744941 0.999467989927   
 0   137.2949287 0.999393673433   
 0   137.3153632 0.998999058414   
 0   137.3357979 0.998796566842   
 0   137.3562325 0.999728375996   
 0   137.3971015 0.999141498362   
 0   137.4175362 1.00004700449    
 0   137.4379708 1.00008409315    
 0   137.4584053 1.00018492143    
 0   137.4788400 0.99938010441    
 0   137.4992746 0.999992728395   
 0   137.5197091 0.999017220029   
 0   137.5401436 0.999699080824   
 0   137.5605783 0.999626851872   
 0   137.5810128 1.00006085185    
 0   137.6014474 0.999584683524   
 0   137.6218821 1.00036674633    
 0   137.6423167 0.999825516283   
 0   137.6627512 1.00035797866    
 0   137.6831858 0.999817861962   
 0   137.7036204 1.00005034455    
 0   137.7240549 1.00009293041    
 0   137.7444895 0.999874921443   
 0   137.7649242 0.999955987657   
 0   137.7853587 0.999738604952   
 0   137.8057933 0.999984099889   
 0   137.8262278 1.0003277093     
 0   137.8466624 0.99977680697    
 0   137.8670970 0.999743406299   
 0   137.8875316 0.999861143666   
 0   137.9079661 1.00080346011    
 0   137.9284008 1.00048573623    
 0   137.9488354 1.00041121098    
 0   137.9692699 1.00048998089    
 0   137.9897045 1.00005486756    
 0   138.0101391 0.999946663302   
 0   138.0305736 0.99935275761    
 0   138.0510082 1.00043960155    
 0   138.0714429 1.00051162175    
 0   138.0918775 0.99963624581    
 0   138.1123120 1.00019027945    
 0   138.1327466 0.999841590356   
 0   138.1531812 1.00029173399    
 0   138.1736157 0.999920081935   
 0   138.1940503 1.00067020535    
 0   138.2144850 1.00049617394    
 0   138.2349196 1.00077124238    
 0   138.2553541 1.00021414701    
 0   138.2757887 1.00021470369    
 0   138.2962233 1.0007132783     
 0   138.3166578 1.00086476426    
 0   138.3370924 1.0006932379     
 0   138.3575271 1.00108917503    
 0   138.3779617 0.999949516277   
 0   138.3983962 1.00036229291    
 0   138.4188308 1.00124532317    
